,transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3
859708,1-102-2008-5198,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,17-09-2009,3,وحدة,Unit,23.0,محل,Shop,تجاري,Commercial,0,على الخارطة,Off-Plan Properties,522,حصيان الاولى,Hessyan First,SHEFFIELD CLASSIQUE,SHEFFIELD CLASSIQUE,283.0,شيفيلد كلاسيك,SHEFFIELD CLASSIQUE,Dubai Water Front,واجهة دبي البحرية,,,,,,,محل,Shop,0,677.96,22841310.0,33691.24,,,1.0,1.0,0.0
341288,1-102-2016-11365,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,15-08-2016,3,وحدة,Unit,23.0,محل,Shop,تجاري,Commercial,0,على الخارطة,Off-Plan Properties,526,الخليج التجارى,Business Bay,Tamani Arts Office,Tamani Arts Office,22.0,مكاتب تماني للفنون,TAMANI ARTS OFFICES,Business Bay,الخليج التجاري,وسط مدينة دبي,Downtown Dubai,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,مول دبي,Dubai Mall,محل,Shop,1,252.9,3217194.0,12721.21,,,1.0,1.0,0.0
198297,1-102-2023-4354,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,27-01-2023,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,442,البرشاء جنوب الخامسة,Al Barsha South Fifth,ذا ايفي,THE IVY,2385.0,ذا ايفي,THE IVY,Jumeirah Village Triangle,قرية جميرا المثلثة,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,غرفة,1 B/R,1,76.31,913222.0,11967.27,,,1.0,2.0,0.0
956405,1-102-2017-19949,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,03-10-2017,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,442,البرشاء جنوب الخامسة,Al Barsha South Fifth,برج الجوهرة ,AL JAWHARA TOWER,1782.0,برج الجوهرة ,AL JAWHARA TOWER ,,,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,استوديو,Studio,1,42.42,527516.0,12435.55,,,1.0,1.0,0.0
36401,1-102-2020-7660,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,11-05-2020,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,412,المركاض,Al Merkadh,"مدينة محمد بن راشد آل مكتوم دستركت ون المرحله الثالثه ,ريسيدنس 14","Mohammed Bin Rashid Al Maktoum City, District One Phase III, Residences 14",2024.0,مدينة محمد بن راشد ال مكتوم ديستركت ون ، المرحلة الثالثة ، ريسيدنسز14,"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 14",,,وسط مدينة دبي,Downtown Dubai,محطة مترو الخليج التجاري,Business Bay Metro Station,مول دبي,Dubai Mall,غرفتين,2 B/R,1,118.49,2096061.0,17689.77,,,1.0,1.0,0.0
392087,1-11-2012-3269,11,1,مبايعات,Sales,بيع,Sell,27-02-2012,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,410,نخلة جميرا,Palm Jumeirah,ايميرالد,EMERALD,1040.0, تيارا ريزيدنس,TIARA RESIDENCE,Palm Jumeirah,نخلة جميرا,برج العرب,Burj Al Arab,قرية المعرفة,Knowledge Village,مارينا مول,Marina Mall,غرفتين,2 B/R,1,155.8,2798200.0,17960.21,,,1.0,1.0,0.0
166734,1-11-2008-203990,11,1,مبايعات,Sales,بيع,Sell,07-07-2008,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,351,الثنيه الثالثة,Al Thanyah Third,الأرتا 3,AL ARTA 3,,,,The Greens,الروضة,برج العرب,Burj Al Arab,مدينة دبي للإنترنت,Dubai Internet City,مارينا مول,Marina Mall,غرفتين,2 B/R,1,98.29,1851992.0,18842.12,,,1.0,1.0,0.0
53577,1-11-2013-20206,11,1,مبايعات,Sales,بيع,Sell,01-07-2013,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,442,البرشاء جنوب الخامسة,Al Barsha South Fifth,,,,,,Jumeirah Village Triangle,قرية جميرا المثلثة,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,,,0,620.23,2750000.0,4433.84,,,1.0,1.0,0.0
874408,1-102-2010-2133,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,23-02-2010,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,410,نخلة جميرا,Palm Jumeirah,جولدن ميل 2,GOLDEN MILE 2,388.0,جولدن ميل ,GOLDEN MILE,Palm Jumeirah,نخلة جميرا,برج العرب,Burj Al Arab,نخلة جميرا,Palm Jumeirah,مارينا مول,Marina Mall,غرفتين,2 B/R,1,186.03,1450000.0,7794.44,,,1.0,1.0,0.0
778874,1-11-2011-18717,11,1,مبايعات,Sales,بيع,Sell,23-01-2012,3,وحدة,Unit,23.0,محل,Shop,تجاري,Commercial,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,ليك تيراس,LAKE TERRACE,438.0,ليك تراس,LAKE TERRACE,Jumeirah Lakes Towers, ابراج بحيرات الجميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,محل,Shop,1,158.16,4060275.0,25671.95,,,1.0,1.0,0.0
